RUN	cddb.ptest.simulations.CreateEditAndDeleteAlbumSimulation	createeditanddeletealbumsimulation	1606915162900	 	3.3.1
USER	Create, edit and delete an album	1	START	1606915164191	1606915164191
REQUEST	1		create album	1606915164248	1606915164467	OK	 
USER	Create, edit and delete an album	2	START	1606915165196	1606915165196
REQUEST	2		create album	1606915165196	1606915165226	OK	 
USER	Create, edit and delete an album	3	START	1606915165445	1606915165445
REQUEST	3		create album	1606915165446	1606915165474	OK	 
REQUEST	1		edit album	1606915165489	1606915165528	OK	 
USER	Create, edit and delete an album	4	START	1606915165696	1606915165696
REQUEST	4		create album	1606915165697	1606915165714	OK	 
USER	Create, edit and delete an album	5	START	1606915165948	1606915165948
REQUEST	5		create album	1606915165949	1606915165970	OK	 
REQUEST	2		edit album	1606915166238	1606915166257	OK	 
USER	Create, edit and delete an album	6	START	1606915166478	1606915166478
REQUEST	6		create album	1606915166478	1606915166512	OK	 
REQUEST	3		edit album	1606915166489	1606915166515	OK	 
REQUEST	4		edit album	1606915166728	1606915166753	OK	 
USER	Create, edit and delete an album	7	START	1606915166858	1606915166858
REQUEST	7		create album	1606915166859	1606915166876	OK	 
USER	Create, edit and delete an album	8	START	1606915166948	1606915166948
REQUEST	8		create album	1606915166949	1606915166968	OK	 
REQUEST	5		edit album	1606915166986	1606915167009	OK	 
USER	Create, edit and delete an album	9	START	1606915167049	1606915167049
REQUEST	9		create album	1606915167050	1606915167069	OK	 
USER	Create, edit and delete an album	10	START	1606915167358	1606915167358
REQUEST	10		create album	1606915167359	1606915167380	OK	 
USER	Create, edit and delete an album	11	START	1606915167555	1606915167555
REQUEST	6		edit album	1606915167531	1606915167568	OK	 
REQUEST	11		create album	1606915167556	1606915167574	OK	 
REQUEST	1		delete album	1606915167536	1606915167583	OK	 
USER	Create, edit and delete an album	1	END	1606915164191	1606915167586
USER	Create, edit and delete an album	12	START	1606915167696	1606915167696
REQUEST	12		create album	1606915167697	1606915167712	OK	 
USER	Create, edit and delete an album	13	START	1606915167805	1606915167805
REQUEST	13		create album	1606915167806	1606915167821	OK	 
REQUEST	7		edit album	1606915167889	1606915167911	OK	 
REQUEST	8		edit album	1606915167978	1606915167996	OK	 
REQUEST	9		edit album	1606915168076	1606915168091	OK	 
USER	Create, edit and delete an album	14	START	1606915168129	1606915168129
REQUEST	14		create album	1606915168130	1606915168144	OK	 
USER	Create, edit and delete an album	15	START	1606915168155	1606915168155
REQUEST	15		create album	1606915168156	1606915168172	OK	 
USER	Create, edit and delete an album	16	START	1606915168228	1606915168228
USER	Create, edit and delete an album	17	START	1606915168239	1606915168239
REQUEST	16		create album	1606915168229	1606915168246	OK	 
REQUEST	17		create album	1606915168240	1606915168257	OK	 
REQUEST	2		delete album	1606915168260	1606915168277	OK	 
USER	Create, edit and delete an album	2	END	1606915165196	1606915168278
USER	Create, edit and delete an album	18	START	1606915168318	1606915168318
REQUEST	18		create album	1606915168319	1606915168336	OK	 
USER	Create, edit and delete an album	19	START	1606915168340	1606915168340
REQUEST	19		create album	1606915168341	1606915168360	OK	 
USER	Create, edit and delete an album	20	START	1606915168361	1606915168361
REQUEST	20		create album	1606915168361	1606915168378	OK	 
REQUEST	10		edit album	1606915168396	1606915168414	OK	 
REQUEST	3		delete album	1606915168520	1606915168541	OK	 
USER	Create, edit and delete an album	3	END	1606915165445	1606915168541
REQUEST	11		edit album	1606915168588	1606915168606	OK	 
USER	Create, edit and delete an album	21	START	1606915168677	1606915168677
REQUEST	21		create album	1606915168678	1606915168694	OK	 
REQUEST	12		edit album	1606915168731	1606915168748	OK	 
REQUEST	4		delete album	1606915168757	1606915168773	OK	 
USER	Create, edit and delete an album	4	END	1606915165696	1606915168774
REQUEST	13		edit album	1606915168839	1606915168855	OK	 
USER	Create, edit and delete an album	22	START	1606915168935	1606915168935
REQUEST	22		create album	1606915168936	1606915168951	OK	 
REQUEST	5		delete album	1606915169019	1606915169036	OK	 
USER	Create, edit and delete an album	5	END	1606915165948	1606915169036
REQUEST	14		edit album	1606915169159	1606915169177	OK	 
USER	Create, edit and delete an album	23	START	1606915169189	1606915169189
REQUEST	23		create album	1606915169190	1606915169210	OK	 
REQUEST	15		edit album	1606915169190	1606915169242	OK	 
REQUEST	16		edit album	1606915169257	1606915169281	OK	 
REQUEST	17		edit album	1606915169267	1606915169284	OK	 
REQUEST	18		edit album	1606915169349	1606915169368	OK	 
REQUEST	19		edit album	1606915169369	1606915169387	OK	 
USER	Create, edit and delete an album	24	START	1606915169390	1606915169390
REQUEST	24		create album	1606915169391	1606915169412	OK	 
REQUEST	20		edit album	1606915169391	1606915169415	OK	 
USER	Create, edit and delete an album	25	START	1606915169500	1606915169500
USER	Create, edit and delete an album	26	START	1606915169515	1606915169515
REQUEST	25		create album	1606915169501	1606915169536	OK	 
REQUEST	26		create album	1606915169516	1606915169543	OK	 
REQUEST	6		delete album	1606915169579	1606915169600	OK	 
USER	Create, edit and delete an album	6	END	1606915166478	1606915169601
USER	Create, edit and delete an album	27	START	1606915169645	1606915169645
USER	Create, edit and delete an album	28	START	1606915169655	1606915169655
REQUEST	27		create album	1606915169646	1606915169668	OK	 
REQUEST	28		create album	1606915169656	1606915169676	OK	 
REQUEST	21		edit album	1606915169709	1606915169726	OK	 
USER	Create, edit and delete an album	29	START	1606915169838	1606915169838
REQUEST	29		create album	1606915169839	1606915169853	OK	 
USER	Create, edit and delete an album	30	START	1606915169879	1606915169879
REQUEST	30		create album	1606915169880	1606915169895	OK	 
REQUEST	7		delete album	1606915169915	1606915169931	OK	 
USER	Create, edit and delete an album	7	END	1606915166858	1606915169932
REQUEST	22		edit album	1606915169968	1606915169985	OK	 
REQUEST	8		delete album	1606915170009	1606915170026	OK	 
USER	Create, edit and delete an album	8	END	1606915166948	1606915170027
REQUEST	9		delete album	1606915170107	1606915170122	OK	 
USER	Create, edit and delete an album	9	END	1606915167049	1606915170122
REQUEST	23		edit album	1606915170216	1606915170233	OK	 
REQUEST	10		delete album	1606915170417	1606915170431	OK	 
USER	Create, edit and delete an album	10	END	1606915167358	1606915170432
REQUEST	24		edit album	1606915170417	1606915170437	OK	 
REQUEST	26		edit album	1606915170556	1606915170573	OK	 
REQUEST	25		edit album	1606915170556	1606915170576	OK	 
REQUEST	11		delete album	1606915170608	1606915170625	OK	 
USER	Create, edit and delete an album	11	END	1606915167555	1606915170625
USER	Create, edit and delete an album	31	START	1606915170650	1606915170650
REQUEST	31		create album	1606915170651	1606915170666	OK	 
REQUEST	28		edit album	1606915170686	1606915170702	OK	 
REQUEST	27		edit album	1606915170686	1606915170711	OK	 
USER	Create, edit and delete an album	32	START	1606915170727	1606915170727
REQUEST	32		create album	1606915170728	1606915170743	OK	 
REQUEST	12		delete album	1606915170760	1606915170774	OK	 
USER	Create, edit and delete an album	12	END	1606915167696	1606915170775
USER	Create, edit and delete an album	33	START	1606915170867	1606915170867
REQUEST	13		delete album	1606915170858	1606915170882	OK	 
USER	Create, edit and delete an album	13	END	1606915167805	1606915170883
REQUEST	33		create album	1606915170868	1606915170887	OK	 
REQUEST	29		edit album	1606915170868	1606915170889	OK	 
REQUEST	30		edit album	1606915170911	1606915170930	OK	 
USER	Create, edit and delete an album	34	START	1606915171029	1606915171029
REQUEST	34		create album	1606915171030	1606915171044	OK	 
REQUEST	14		delete album	1606915171180	1606915171195	OK	 
USER	Create, edit and delete an album	14	END	1606915168129	1606915171196
REQUEST	15		delete album	1606915171248	1606915171265	OK	 
USER	Create, edit and delete an album	15	END	1606915168155	1606915171266
REQUEST	16		delete album	1606915171290	1606915171309	OK	 
USER	Create, edit and delete an album	16	END	1606915168228	1606915171310
REQUEST	17		delete album	1606915171300	1606915171318	OK	 
USER	Create, edit and delete an album	17	END	1606915168239	1606915171318
