RUN	cddb.ptest.simulations.GetAlbumsSimulation	getalbumssimulation	1606914859373	 	3.3.1
USER	Get all albums	1	START	1606914860836	1606914860836
REQUEST	1		get albums	1606914860866	1606914861409	OK	 
USER	Get all albums	1	END	1606914860836	1606914861429
USER	Get all albums	2	START	1606914861848	1606914861848
REQUEST	2		get albums	1606914861848	1606914861860	OK	 
USER	Get all albums	2	END	1606914861848	1606914861861
USER	Get all albums	3	START	1606914862843	1606914862843
REQUEST	3		get albums	1606914862848	1606914862863	OK	 
USER	Get all albums	3	END	1606914862843	1606914862864
USER	Get all albums	4	START	1606914863836	1606914863836
REQUEST	4		get albums	1606914863836	1606914863846	OK	 
USER	Get all albums	4	END	1606914863836	1606914863847
USER	Get all albums	5	START	1606914864833	1606914864833
REQUEST	5		get albums	1606914864834	1606914864845	OK	 
USER	Get all albums	5	END	1606914864833	1606914864845
USER	Get all albums	6	START	1606914865836	1606914865836
REQUEST	6		get albums	1606914865836	1606914865850	OK	 
USER	Get all albums	6	END	1606914865836	1606914865851
USER	Get all albums	7	START	1606914866834	1606914866834
REQUEST	7		get albums	1606914866834	1606914866846	OK	 
USER	Get all albums	7	END	1606914866834	1606914866847
USER	Get all albums	8	START	1606914867837	1606914867837
REQUEST	8		get albums	1606914867837	1606914867848	OK	 
USER	Get all albums	8	END	1606914867837	1606914867849
USER	Get all albums	9	START	1606914868824	1606914868824
REQUEST	9		get albums	1606914868825	1606914868835	OK	 
USER	Get all albums	9	END	1606914868824	1606914868836
USER	Get all albums	10	START	1606914869835	1606914869835
REQUEST	10		get albums	1606914869835	1606914869849	OK	 
USER	Get all albums	10	END	1606914869835	1606914869850
